Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,_template_category
167,The agent was extremely rude to me on the phone and hung up before resolving my issue.,2025-12-28,Dec-25,07:36,Customer Care Call,Portland,OR,97201,Pending,Yes,Service
168,My internet has been completely down for two days and no technician has shown up yet. I have been a loyal customer for years and expected better.,2026-06-04,Jun-26,16:35,Internet,Boston,MA,02101,Solved,No,Technical
169,I was charged $65 twice on my bill this month and would like it corrected. I would appreciate a quick response.,2025-01-17,Jan-25,11:50,Internet,Dallas,TX,75201,Closed,No,Billing
170,"The agent was extremely rude to me on the phone and hung up before resolving my issue. No rush on this, whenever you get a chance is fine.",2025-12-07,Dec-25,04:02,Customer Care Call,Portland,OR,97201,Closed,No,Service
171,"I have a general question about upgrading my current plan. I need this resolved immediately, I cannot wait any longer!",2025-07-06,Jul-25,04:04,Customer Care Call,Phoenix,AZ,85001,Open,No,Others
172,I was billed for a package I never signed up for and it has taken three days to even get a reply.,2025-11-14,Nov-25,16:25,Customer Care Call,Atlanta,GA,30301,Closed,Yes,Billing
173,I have called a week in a row and every representative gives me a different answer with no resolution. I am extremely frustrated at this point.,2025-02-18,Feb-25,20:21,Customer Care Call,Columbus,OH,43085,Open,No,Service
174,My internet connection keeps disconnecting every few minutes since yesterday. Thank you for looking into this.,2026-01-31,Jan-26,10:11,Customer Care Call,Baltimore,MD,21201,Solved,No,Technical
175,"I have tried to cancel my account for a week and keep getting transferred with no resolution. No rush on this, whenever you get a chance is fine.",2026-03-11,Mar-26,02:27,Internet,Austin,TX,73301,Closed,No,Others
176,I have been overcharged $40 for a month now and no one has fixed my billing statement. I would appreciate a quick response.,2026-04-02,Apr-26,19:45,Customer Care Call,Seattle,WA,98101,Pending,No,Billing
177,I cancelled my service a month ago and my $15 deposit still has not been refunded. I've already called twice about this exact issue.,2025-12-28,Dec-25,19:27,Customer Care Call,Baltimore,MD,21201,Open,Yes,Financial
178,The representative I spoke to was short with me and didn't answer my question. I have been a loyal customer for years and expected better.,2025-06-13,Jun-25,00:09,Customer Care Call,San Diego,CA,92101,Open,No,Service
179,I was charged $210 twice on my bill this month and would like it corrected. I am extremely frustrated at this point.,2026-01-28,Jan-26,18:02,Internet,Atlanta,GA,30301,Solved,No,Billing
180,Nobody will process my $210 refund even though I have called two days in a row about it. Please escalate this to a supervisor if needed.,2026-06-27,Jun-26,11:25,Customer Care Call,Denver,CO,80014,Closed,No,Financial
181,I have tried to cancel my account for a month and keep getting transferred with no resolution. Please let me know as soon as possible.,2026-06-15,Jun-26,12:58,Internet,Phoenix,AZ,85001,Closed,No,Others
182,I have been on hold for over an hour trying to reach customer support. I would appreciate a quick response.,2026-05-18,May-26,06:07,Internet,Dallas,TX,75201,Open,No,Service
183,This is the second month in a row my bill is wrong by $120 and support keeps ignoring my emails.,2025-11-24,Nov-25,21:22,Internet,San Diego,CA,92101,Closed,No,Billing
184,"Could you send me information about available add-on packages? I need this resolved immediately, I cannot wait any longer!",2025-06-28,Jun-25,11:32,Internet,Nashville,TN,37201,Open,No,Others
185,"Nobody has followed up with me after promising a callback several months ago, this is unacceptable. Thank you for looking into this.",2026-01-05,Jan-26,17:36,Customer Care Call,Springfield,IL,62701,Solved,No,Service
186,I had a fine experience overall but wanted to mention the hold time was a bit long. I would appreciate a quick response.,2026-05-06,May-26,16:26,Customer Care Call,Chicago,IL,60601,Open,No,Service
187,Nobody can tell me why my account was suspended without any notice two days ago. Thank you for looking into this.,2026-06-14,Jun-26,11:08,Internet,Phoenix,AZ,85001,Pending,No,Others
188,My internet has been completely down for two days and no technician has shown up yet. I've already called twice about this exact issue.,2026-06-15,Jun-26,04:19,Internet,Austin,TX,73301,Pending,No,Technical
189,I have tried to cancel my account for a week and keep getting transferred with no resolution. I have been a loyal customer for years and expected better.,2025-10-18,Oct-25,02:16,Internet,Baltimore,MD,21201,Closed,No,Others
190,I had a fine experience overall but wanted to mention the hold time was a bit long.,2025-06-22,Jun-25,18:37,Internet,Boston,MA,02101,Pending,No,Service
191,I have a general question about upgrading my current plan. I've already called twice about this exact issue.,2025-01-30,Jan-25,02:02,Customer Care Call,Columbus,OH,43085,Pending,No,Others
192,I had a fine experience overall but wanted to mention the hold time was a bit long. This has happened before and I don't want it to happen again.,2025-10-24,Oct-25,20:19,Customer Care Call,Boston,MA,02101,Pending,No,Service
193,The promotional credit of $15 was never applied to my account as promised.,2026-03-27,Mar-26,13:30,Customer Care Call,Denver,CO,80014,Pending,No,Financial
194,"My connection drops every hour and I work from home, I cannot keep losing income like this. I need this resolved immediately, I cannot wait any longer!",2025-12-20,Dec-25,12:08,Customer Care Call,Atlanta,GA,30301,Open,No,Technical
195,Can someone confirm when my deposit will be returned after I closed my account? Thank you for looking into this.,2025-05-25,May-25,03:03,Customer Care Call,Miami,FL,33101,Solved,No,Financial
196,Can someone confirm when my deposit will be returned after I closed my account? I've already called twice about this exact issue.,2025-11-17,Nov-25,06:48,Internet,Atlanta,GA,30301,Solved,No,Financial
197,My internet has been completely down for two weeks and no technician has shown up yet.,2026-02-07,Feb-26,16:29,Internet,Austin,TX,73301,Pending,No,Technical
198,I was charged $40 twice on my bill this month and would like it corrected. Please escalate this to a supervisor if needed.,2026-04-27,Apr-26,09:34,Internet,Baltimore,MD,21201,Open,No,Billing
199,I have been overcharged $40 for a month now and no one has fixed my billing statement. I am extremely frustrated at this point.,2026-02-17,Feb-26,11:02,Customer Care Call,San Diego,CA,92101,Open,No,Billing
200,Nobody will process my $40 refund even though I have called two days in a row about it. I am considering switching providers over this.,2026-04-07,Apr-26,17:17,Internet,Boston,MA,02101,Pending,Yes,Financial
201,"My internet speed seems a little slower than what I'm paying for, could you check the line? I have been a loyal customer for years and expected better.",2025-05-28,May-25,06:38,Customer Care Call,Atlanta,GA,30301,Open,Yes,Technical
202,"My monthly bill seems higher than usual this cycle, can you check the breakdown? No rush on this, whenever you get a chance is fine.",2026-06-16,Jun-26,14:09,Internet,Phoenix,AZ,85001,Closed,No,Billing
203,This is the second month in a row my bill is wrong by $89.99 and support keeps ignoring my emails. I've already called twice about this exact issue.,2025-12-11,Dec-25,16:53,Customer Care Call,Seattle,WA,98101,Closed,No,Billing
204,"Nobody has followed up with me after promising a callback a week ago, this is unacceptable. This has happened before and I don't want it to happen again.",2026-03-03,Mar-26,18:19,Internet,Austin,TX,73301,Solved,No,Service
205,Nobody can tell me why my account was suspended without any notice several months ago. Please escalate this to a supervisor if needed.,2025-08-22,Aug-25,23:03,Customer Care Call,Portland,OR,97201,Pending,No,Others
206,This is the second month in a row my bill is wrong by $120 and support keeps ignoring my emails.,2025-04-23,Apr-25,06:01,Customer Care Call,Portland,OR,97201,Closed,No,Billing
207,This is the second month in a row my bill is wrong by $120 and support keeps ignoring my emails. I am considering switching providers over this.,2026-04-28,Apr-26,23:46,Internet,Boston,MA,02101,Pending,No,Billing
208,This is the third technician appointment that has been missed and I still have no service. I have been a loyal customer for years and expected better.,2025-11-18,Nov-25,05:29,Customer Care Call,Chicago,IL,60601,Closed,No,Technical
209,I had a fine experience overall but wanted to mention the hold time was a bit long. I would appreciate a quick response.,2025-11-02,Nov-25,07:19,Customer Care Call,Boston,MA,02101,Pending,No,Service
210,"I cancelled my service three weeks ago and my $40 deposit still has not been refunded. No rush on this, whenever you get a chance is fine.",2025-10-08,Oct-25,09:07,Customer Care Call,Dallas,TX,75201,Solved,No,Financial
211,I have tried to cancel my account for three days and keep getting transferred with no resolution. I would appreciate a quick response.,2025-10-22,Oct-25,22:05,Customer Care Call,Springfield,IL,62701,Solved,No,Others
212,I have called three days in a row and every representative gives me a different answer with no resolution. I've already called twice about this exact issue.,2025-10-05,Oct-25,17:44,Customer Care Call,Boston,MA,02101,Pending,Yes,Service
213,"I had a fine experience overall but wanted to mention the hold time was a bit long. This is not urgent, just wanted to flag it.",2026-06-28,Jun-26,07:40,Internet,Springfield,IL,62701,Open,Yes,Service
214,"My internet speed seems a little slower than what I'm paying for, could you check the line?",2025-05-21,May-25,00:35,Internet,Nashville,TN,37201,Solved,No,Technical
215,My modem stopped working and I still don't have a working connection. I would appreciate a quick response.,2025-10-20,Oct-25,20:03,Internet,Atlanta,GA,30301,Pending,Yes,Technical
216,"I moved recently and need to update my service address, but the website won't let me. I've already called twice about this exact issue.",2025-02-07,Feb-25,12:50,Customer Care Call,Denver,CO,80014,Pending,No,Others
217,I want to cancel my subscription but keep getting transferred between departments. Please escalate this to a supervisor if needed.,2025-04-20,Apr-25,10:18,Customer Care Call,Portland,OR,97201,Solved,No,Others
218,"Could you send me information about available add-on packages? This is not urgent, just wanted to flag it.",2025-04-26,Apr-25,10:10,Customer Care Call,San Diego,CA,92101,Closed,No,Others
219,"I have a question about a charge of $40 on my latest bill, could someone clarify it? I would appreciate a quick response.",2025-07-17,Jul-25,05:39,Customer Care Call,Portland,OR,97201,Solved,No,Billing
220,"My bill shows a late fee even though I paid on time, please review my account. Please let me know as soon as possible.",2026-05-04,May-26,10:59,Internet,Denver,CO,80014,Open,No,Billing
221,Nobody will process my $65 refund even though I have called several months in a row about it. I would appreciate a quick response.,2025-11-06,Nov-25,18:46,Internet,Atlanta,GA,30301,Closed,No,Financial
222,I have been on hold for over an hour trying to reach customer support.,2025-11-11,Nov-25,05:25,Customer Care Call,Phoenix,AZ,85001,Open,No,Service
223,Nobody will process my $22.50 refund even though I have called three days in a row about it. Please let me know as soon as possible.,2025-06-06,Jun-25,14:47,Customer Care Call,Phoenix,AZ,85001,Solved,No,Financial
224,I have called a month in a row and every representative gives me a different answer with no resolution. I've already called twice about this exact issue.,2025-09-11,Sep-25,21:48,Internet,Miami,FL,33101,Solved,No,Service
225,"My bill shows a late fee even though I paid on time, please review my account.",2026-06-02,Jun-26,06:36,Internet,Columbus,OH,43085,Pending,No,Billing
226,Could you send me information about available add-on packages? This has happened before and I don't want it to happen again.,2026-05-16,May-26,02:57,Customer Care Call,Miami,FL,33101,Open,No,Others
227,I have been overcharged $65 for two weeks now and no one has fixed my billing statement. Please escalate this to a supervisor if needed.,2026-04-19,Apr-26,21:51,Customer Care Call,Springfield,IL,62701,Open,No,Billing
228,"Can someone confirm when my deposit will be returned after I closed my account? This is not urgent, just wanted to flag it.",2025-03-16,Mar-25,01:27,Customer Care Call,Portland,OR,97201,Open,Yes,Financial
229,I have tried to cancel my account for two weeks and keep getting transferred with no resolution.,2026-02-23,Feb-26,05:49,Internet,Seattle,WA,98101,Solved,No,Others
230,Nobody can tell me why my account was suspended without any notice two weeks ago. I've already called twice about this exact issue.,2026-01-22,Jan-26,12:05,Internet,Baltimore,MD,21201,Closed,Yes,Others
231,I was billed for a package I never signed up for and it has taken two weeks to even get a reply. I have been a loyal customer for years and expected better.,2025-08-17,Aug-25,00:48,Internet,Denver,CO,80014,Closed,No,Billing
232,The representative I spoke to was short with me and didn't answer my question. I have been a loyal customer for years and expected better.,2025-08-24,Aug-25,07:29,Customer Care Call,Chicago,IL,60601,Pending,No,Service
233,I was billed for a package I never signed up for and it has taken several months to even get a reply.,2026-03-06,Mar-26,19:49,Internet,Springfield,IL,62701,Pending,No,Billing
234,I was charged $89.99 twice on my bill this month and would like it corrected. Thank you for looking into this.,2025-02-19,Feb-25,07:47,Internet,Portland,OR,97201,Solved,No,Billing
235,I would like to ask about the refund process for a canceled service. I've already called twice about this exact issue.,2025-02-27,Feb-25,04:32,Customer Care Call,San Diego,CA,92101,Pending,No,Financial
236,"My connection drops every hour and I work from home, I cannot keep losing income like this. I've already called twice about this exact issue.",2025-08-31,Aug-25,09:56,Internet,Atlanta,GA,30301,Pending,No,Technical
237,The promotional credit of $15 was never applied to my account as promised. Please escalate this to a supervisor if needed.,2025-06-29,Jun-25,20:43,Customer Care Call,Baltimore,MD,21201,Solved,Yes,Financial
238,Nobody can tell me why my account was suspended without any notice a month ago. I am considering switching providers over this.,2026-06-22,Jun-26,10:44,Customer Care Call,San Diego,CA,92101,Solved,No,Others
239,The promotional credit of $22.50 was never applied to my account as promised. I have been a loyal customer for years and expected better.,2025-09-04,Sep-25,07:19,Internet,Phoenix,AZ,85001,Solved,Yes,Financial
240,This is the third technician appointment that has been missed and I still have no service. I have been a loyal customer for years and expected better.,2026-02-02,Feb-26,07:16,Internet,Denver,CO,80014,Closed,Yes,Technical
241,"I moved recently and need to update my service address, but the website won't let me.",2025-07-15,Jul-25,01:17,Customer Care Call,Boston,MA,02101,Open,Yes,Others
242,"I was billed for a package I never signed up for and it has taken three weeks to even get a reply. I need this resolved immediately, I cannot wait any longer!",2025-08-11,Aug-25,15:13,Customer Care Call,Nashville,TN,37201,Closed,Yes,Billing
243,I was billed for a package I never signed up for and it has taken a month to even get a reply.,2026-05-06,May-26,07:44,Internet,Dallas,TX,75201,Solved,No,Billing
244,This is the third technician appointment that has been missed and I still have no service. I am considering switching providers over this.,2026-01-03,Jan-26,09:16,Customer Care Call,Phoenix,AZ,85001,Solved,No,Technical
245,"My bill shows a late fee even though I paid on time, please review my account. No rush on this, whenever you get a chance is fine.",2025-11-24,Nov-25,06:23,Customer Care Call,Columbus,OH,43085,Solved,Yes,Billing
246,This is the third technician appointment that has been missed and I still have no service. Please let me know as soon as possible.,2025-09-25,Sep-25,17:59,Customer Care Call,Springfield,IL,62701,Closed,No,Technical
247,I was billed for a package I never signed up for and it has taken two weeks to even get a reply. Please escalate this to a supervisor if needed.,2025-09-09,Sep-25,15:35,Customer Care Call,Columbus,OH,43085,Closed,No,Billing
248,Nobody can tell me why my account was suspended without any notice a month ago. Thank you for looking into this.,2025-06-22,Jun-25,23:50,Customer Care Call,Phoenix,AZ,85001,Pending,No,Others
249,The agent was extremely rude to me on the phone and hung up before resolving my issue. I have been a loyal customer for years and expected better.,2025-03-02,Mar-25,16:02,Internet,Nashville,TN,37201,Open,Yes,Service
250,"My internet speed seems a little slower than what I'm paying for, could you check the line? This is not urgent, just wanted to flag it.",2025-06-04,Jun-25,00:13,Customer Care Call,Austin,TX,73301,Closed,Yes,Technical
251,I had a fine experience overall but wanted to mention the hold time was a bit long. Thank you for looking into this.,2026-05-15,May-26,00:00,Customer Care Call,Nashville,TN,37201,Open,Yes,Service
252,My internet has been completely down for three weeks and no technician has shown up yet. I would appreciate a quick response.,2026-05-30,May-26,22:43,Customer Care Call,Springfield,IL,62701,Pending,Yes,Technical
253,"I moved recently and need to update my service address, but the website won't let me. This is not urgent, just wanted to flag it.",2026-06-24,Jun-26,08:52,Customer Care Call,Miami,FL,33101,Closed,No,Others
254,"My bill shows a late fee even though I paid on time, please review my account. Please escalate this to a supervisor if needed.",2025-08-20,Aug-25,09:43,Internet,Miami,FL,33101,Open,Yes,Billing
255,"My internet speed seems a little slower than what I'm paying for, could you check the line? Thank you for looking into this.",2025-01-10,Jan-25,22:10,Internet,Springfield,IL,62701,Solved,No,Technical
256,Just leaving feedback that the chat support could be a little faster to respond. I've already called twice about this exact issue.,2026-06-25,Jun-26,01:14,Internet,Austin,TX,73301,Solved,No,Service
257,I was charged $15 twice on my bill this month and would like it corrected. I would appreciate a quick response.,2025-02-03,Feb-25,05:59,Customer Care Call,Baltimore,MD,21201,Open,No,Billing
258,"My connection drops every hour and I work from home, I cannot keep losing income like this. I need this resolved immediately, I cannot wait any longer!",2026-02-12,Feb-26,02:19,Internet,Columbus,OH,43085,Pending,No,Technical
259,The representative I spoke to was short with me and didn't answer my question. I am considering switching providers over this.,2025-05-24,May-25,22:46,Internet,San Diego,CA,92101,Closed,Yes,Service
260,"My bill shows a late fee even though I paid on time, please review my account.",2026-02-11,Feb-26,10:01,Customer Care Call,Atlanta,GA,30301,Solved,No,Billing
261,I would like to ask about the refund process for a canceled service. I am considering switching providers over this.,2026-01-25,Jan-26,02:49,Customer Care Call,Denver,CO,80014,Pending,Yes,Financial
262,"My bill shows a late fee even though I paid on time, please review my account. I need this resolved immediately, I cannot wait any longer!",2025-06-07,Jun-25,23:24,Customer Care Call,San Diego,CA,92101,Closed,Yes,Billing
263,"My bill shows a late fee even though I paid on time, please review my account. I am extremely frustrated at this point.",2025-10-04,Oct-25,03:08,Internet,San Diego,CA,92101,Pending,No,Billing
264,My internet connection keeps disconnecting every few minutes since yesterday. I am considering switching providers over this.,2025-01-27,Jan-25,02:22,Internet,Austin,TX,73301,Closed,No,Technical
265,"I have a question about a charge of $65 on my latest bill, could someone clarify it? No rush on this, whenever you get a chance is fine.",2025-09-06,Sep-25,18:33,Internet,Austin,TX,73301,Solved,No,Billing
266,I have been overcharged $40 for a week now and no one has fixed my billing statement. Thank you for looking into this.,2025-03-06,Mar-25,05:27,Customer Care Call,Denver,CO,80014,Solved,No,Billing
267,My modem stopped working and I still don't have a working connection. I would appreciate a quick response.,2026-05-23,May-26,19:39,Internet,Miami,FL,33101,Solved,Yes,Technical
268,I have been overcharged $15 for two weeks now and no one has fixed my billing statement. I am extremely frustrated at this point.,2026-01-25,Jan-26,10:28,Customer Care Call,Columbus,OH,43085,Solved,No,Billing
269,"The promotional credit of $89.99 was never applied to my account as promised. This is not urgent, just wanted to flag it.",2025-11-18,Nov-25,05:25,Customer Care Call,Phoenix,AZ,85001,Closed,No,Financial
270,Nobody can tell me why my account was suspended without any notice three days ago. I am extremely frustrated at this point.,2025-10-15,Oct-25,12:23,Internet,Chicago,IL,60601,Pending,No,Others
271,"I have been on hold for over an hour trying to reach customer support. I need this resolved immediately, I cannot wait any longer!",2025-08-03,Aug-25,14:51,Customer Care Call,Phoenix,AZ,85001,Open,No,Service
272,The representative I spoke to was short with me and didn't answer my question. I would appreciate a quick response.,2025-09-16,Sep-25,21:09,Customer Care Call,Miami,FL,33101,Solved,Yes,Service
273,My internet connection keeps disconnecting every few minutes since yesterday. Please escalate this to a supervisor if needed.,2026-06-03,Jun-26,22:26,Internet,Chicago,IL,60601,Closed,Yes,Technical
274,I have been overcharged $22.50 for a month now and no one has fixed my billing statement. This has happened before and I don't want it to happen again.,2025-06-20,Jun-25,20:39,Internet,Atlanta,GA,30301,Solved,No,Billing
275,Nobody can tell me why my account was suspended without any notice two days ago.,2025-09-22,Sep-25,07:32,Internet,Austin,TX,73301,Solved,No,Others
276,Nobody will process my $210 refund even though I have called a month in a row about it. Please escalate this to a supervisor if needed.,2026-05-28,May-26,04:22,Internet,Dallas,TX,75201,Solved,Yes,Financial
277,The promotional credit of $15 was never applied to my account as promised. I've already called twice about this exact issue.,2025-05-26,May-25,11:19,Customer Care Call,Dallas,TX,75201,Solved,No,Financial
278,My internet has been completely down for two weeks and no technician has shown up yet.,2026-04-09,Apr-26,10:04,Customer Care Call,Phoenix,AZ,85001,Open,Yes,Technical
279,"My monthly bill seems higher than usual this cycle, can you check the breakdown?",2025-06-18,Jun-25,23:15,Internet,Nashville,TN,37201,Pending,No,Billing
280,"This is the third technician appointment that has been missed and I still have no service. No rush on this, whenever you get a chance is fine.",2025-07-08,Jul-25,05:40,Customer Care Call,Chicago,IL,60601,Solved,Yes,Technical
281,The agent was extremely rude to me on the phone and hung up before resolving my issue. Please escalate this to a supervisor if needed.,2026-02-03,Feb-26,00:45,Internet,Chicago,IL,60601,Pending,No,Service
282,I have called several months in a row and every representative gives me a different answer with no resolution.,2025-04-15,Apr-25,17:11,Customer Care Call,Portland,OR,97201,Closed,No,Service
283,My internet connection keeps disconnecting every few minutes since yesterday. I've already called twice about this exact issue.,2026-06-25,Jun-26,20:20,Customer Care Call,Phoenix,AZ,85001,Solved,Yes,Technical
284,I cancelled my service two weeks ago and my $210 deposit still has not been refunded. Please escalate this to a supervisor if needed.,2025-11-01,Nov-25,19:37,Internet,Denver,CO,80014,Pending,No,Financial
285,I have been overcharged $40 for two days now and no one has fixed my billing statement. Please let me know as soon as possible.,2025-05-25,May-25,16:24,Customer Care Call,Atlanta,GA,30301,Pending,No,Billing
286,I'd like a technician to take a look at my router configuration when convenient. I have been a loyal customer for years and expected better.,2025-06-27,Jun-25,17:10,Customer Care Call,Dallas,TX,75201,Closed,No,Technical
287,I was billed for a package I never signed up for and it has taken two weeks to even get a reply. Please escalate this to a supervisor if needed.,2026-01-03,Jan-26,00:31,Internet,Springfield,IL,62701,Pending,No,Billing
288,Nobody can tell me why my account was suspended without any notice a month ago. Thank you for looking into this.,2026-05-19,May-26,13:45,Customer Care Call,Chicago,IL,60601,Solved,No,Others
289,"My bill shows a late fee even though I paid on time, please review my account. No rush on this, whenever you get a chance is fine.",2025-10-27,Oct-25,01:17,Internet,Miami,FL,33101,Closed,No,Billing
290,"I have called a month in a row and every representative gives me a different answer with no resolution. No rush on this, whenever you get a chance is fine.",2026-05-23,May-26,17:32,Internet,San Diego,CA,92101,Open,No,Service
291,I have called a week in a row and every representative gives me a different answer with no resolution. I have been a loyal customer for years and expected better.,2025-02-12,Feb-25,23:28,Internet,Columbus,OH,43085,Solved,Yes,Service
292,"The agent was extremely rude to me on the phone and hung up before resolving my issue. This is not urgent, just wanted to flag it.",2025-02-03,Feb-25,14:16,Customer Care Call,Seattle,WA,98101,Open,No,Service
293,"I want to cancel my subscription but keep getting transferred between departments. No rush on this, whenever you get a chance is fine.",2025-08-03,Aug-25,23:37,Customer Care Call,Miami,FL,33101,Solved,No,Others
294,I had a fine experience overall but wanted to mention the hold time was a bit long. I've already called twice about this exact issue.,2025-03-02,Mar-25,18:22,Customer Care Call,Miami,FL,33101,Pending,No,Service
295,Nobody can tell me why my account was suspended without any notice a week ago. Please escalate this to a supervisor if needed.,2026-06-11,Jun-26,21:52,Internet,Seattle,WA,98101,Pending,No,Others
296,"I moved recently and need to update my service address, but the website won't let me. This has happened before and I don't want it to happen again.",2025-05-16,May-25,07:09,Customer Care Call,Denver,CO,80014,Pending,No,Others
297,My modem stopped working and I still don't have a working connection. I would appreciate a quick response.,2026-03-01,Mar-26,12:28,Internet,Nashville,TN,37201,Open,No,Technical
298,My internet has been completely down for a month and no technician has shown up yet. I am extremely frustrated at this point.,2026-05-15,May-26,10:37,Internet,Phoenix,AZ,85001,Open,No,Technical
299,Just leaving feedback that the chat support could be a little faster to respond. I've already called twice about this exact issue.,2026-02-12,Feb-26,06:27,Internet,Austin,TX,73301,Solved,No,Service
300,I cancelled my service a week ago and my $40 deposit still has not been refunded. I have been a loyal customer for years and expected better.,2025-05-14,May-25,18:54,Customer Care Call,Portland,OR,97201,Closed,Yes,Financial
301,I was charged $120 twice on my bill this month and would like it corrected. I've already called twice about this exact issue.,2025-01-17,Jan-25,03:59,Internet,Phoenix,AZ,85001,Solved,No,Billing
302,"I have a question about a charge of $65 on my latest bill, could someone clarify it? I need this resolved immediately, I cannot wait any longer!",2025-05-16,May-25,20:19,Internet,Baltimore,MD,21201,Closed,Yes,Billing
303,The representative I spoke to was short with me and didn't answer my question. I am extremely frustrated at this point.,2025-06-19,Jun-25,01:25,Customer Care Call,Nashville,TN,37201,Pending,No,Service
304,The representative I spoke to was short with me and didn't answer my question.,2026-05-04,May-26,02:08,Internet,Miami,FL,33101,Solved,Yes,Service
305,"I have a question about a charge of $40 on my latest bill, could someone clarify it?",2026-03-09,Mar-26,22:08,Customer Care Call,Columbus,OH,43085,Open,No,Billing
306,Nobody will process my $120 refund even though I have called several months in a row about it.,2025-11-17,Nov-25,11:56,Customer Care Call,Austin,TX,73301,Pending,No,Financial
307,I have called several months in a row and every representative gives me a different answer with no resolution. Please let me know as soon as possible.,2025-05-27,May-25,02:33,Internet,Nashville,TN,37201,Pending,No,Service
308,"I cancelled my service a month ago and my $22.50 deposit still has not been refunded. I need this resolved immediately, I cannot wait any longer!",2026-02-26,Feb-26,19:43,Customer Care Call,Denver,CO,80014,Pending,Yes,Financial
309,"I moved recently and need to update my service address, but the website won't let me.",2026-01-29,Jan-26,11:27,Customer Care Call,Portland,OR,97201,Pending,No,Others
310,I requested a refund of $15 three days ago and have not received it yet. I have been a loyal customer for years and expected better.,2025-10-19,Oct-25,22:01,Customer Care Call,Portland,OR,97201,Pending,No,Financial
311,I have called a month in a row and every representative gives me a different answer with no resolution.,2025-09-03,Sep-25,15:24,Internet,San Diego,CA,92101,Pending,No,Service
312,Just leaving feedback that the chat support could be a little faster to respond.,2025-11-21,Nov-25,04:24,Customer Care Call,Atlanta,GA,30301,Closed,No,Service
313,I have called two days in a row and every representative gives me a different answer with no resolution.,2025-03-11,Mar-25,00:16,Internet,Portland,OR,97201,Open,Yes,Service
314,I have tried to cancel my account for three weeks and keep getting transferred with no resolution. I would appreciate a quick response.,2026-05-29,May-26,13:27,Customer Care Call,Nashville,TN,37201,Open,No,Others
315,I requested a refund of $40 two days ago and have not received it yet. I have been a loyal customer for years and expected better.,2025-07-28,Jul-25,04:34,Customer Care Call,Baltimore,MD,21201,Solved,Yes,Financial
316,The promotional credit of $65 was never applied to my account as promised. I've already called twice about this exact issue.,2025-03-01,Mar-25,07:05,Customer Care Call,Miami,FL,33101,Open,No,Financial
317,I had a fine experience overall but wanted to mention the hold time was a bit long. This has happened before and I don't want it to happen again.,2025-06-29,Jun-25,03:00,Internet,Dallas,TX,75201,Open,No,Service
318,My internet has been completely down for three weeks and no technician has shown up yet. I have been a loyal customer for years and expected better.,2025-09-23,Sep-25,05:23,Internet,San Diego,CA,92101,Closed,Yes,Technical
319,"I have called a week in a row and every representative gives me a different answer with no resolution. No rush on this, whenever you get a chance is fine.",2025-10-06,Oct-25,16:04,Customer Care Call,Chicago,IL,60601,Open,No,Service
320,My internet connection keeps disconnecting every few minutes since yesterday. Thank you for looking into this.,2025-06-20,Jun-25,11:10,Customer Care Call,Columbus,OH,43085,Open,Yes,Technical
321,I would like to ask about the refund process for a canceled service.,2025-01-13,Jan-25,07:02,Customer Care Call,Columbus,OH,43085,Closed,No,Financial
322,"I moved recently and need to update my service address, but the website won't let me.",2026-03-06,Mar-26,07:20,Internet,Boston,MA,02101,Solved,No,Others
323,I requested a refund of $15 three weeks ago and have not received it yet. I am extremely frustrated at this point.,2026-05-30,May-26,21:57,Internet,Austin,TX,73301,Pending,No,Financial
324,"Nobody has followed up with me after promising a callback two weeks ago, this is unacceptable.",2026-04-22,Apr-26,09:49,Customer Care Call,Baltimore,MD,21201,Closed,Yes,Service
325,"This is the third technician appointment that has been missed and I still have no service. This is not urgent, just wanted to flag it.",2025-11-08,Nov-25,23:39,Internet,Seattle,WA,98101,Solved,No,Technical
326,"My connection drops every hour and I work from home, I cannot keep losing income like this. No rush on this, whenever you get a chance is fine.",2025-09-09,Sep-25,04:00,Customer Care Call,Miami,FL,33101,Open,No,Technical
327,"This is the third technician appointment that has been missed and I still have no service. I need this resolved immediately, I cannot wait any longer!",2025-01-10,Jan-25,10:00,Customer Care Call,Baltimore,MD,21201,Closed,Yes,Technical
328,I was billed for a package I never signed up for and it has taken two weeks to even get a reply. Thank you for looking into this.,2025-05-26,May-25,22:17,Internet,Springfield,IL,62701,Open,No,Billing
329,"I moved recently and need to update my service address, but the website won't let me. I need this resolved immediately, I cannot wait any longer!",2026-01-17,Jan-26,14:47,Internet,Baltimore,MD,21201,Open,No,Others
330,Just leaving feedback that the chat support could be a little faster to respond. Please escalate this to a supervisor if needed.,2025-03-05,Mar-25,13:42,Internet,Portland,OR,97201,Pending,No,Service
331,I requested a refund of $40 several months ago and have not received it yet. I am considering switching providers over this.,2025-12-01,Dec-25,10:28,Customer Care Call,Dallas,TX,75201,Pending,Yes,Financial
332,"I have tried to cancel my account for several months and keep getting transferred with no resolution. No rush on this, whenever you get a chance is fine.",2025-04-22,Apr-25,04:06,Internet,Portland,OR,97201,Solved,No,Others
333,The promotional credit of $15 was never applied to my account as promised. I am extremely frustrated at this point.,2025-08-01,Aug-25,14:19,Customer Care Call,San Diego,CA,92101,Closed,Yes,Financial
